"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"810437","Children's Residential Facilities","Beverley A Benjamin Youth Lodge","1212 RAYMOND AVE","","","Saint Paul","MN","55108-1928","Ramsey","(651) 632-8923","Active","Ain Dah Yung (Our Home) Center","6  ","","None","Unit name: Beverley Benjamin Youth Lodge; Unit capacity: 6  ; Ages served: 16 through 21; Gender: Either; Services provided: Transitional Services     ;  ","Minnesota Department of Human Services","07/03/1996","01/01/2026","12/31/2026","   ","",
"830857","Children's Residential Facilities","Bridge for Youth (The)","","","","","  ","          ","Hennepin","(612) 230-6702","Active","Bridge for Youth (The)","38 ","","RESTRICTIONS - Marlene's Place, 5 parents and 7 children of youth ages 0 - 3; Gloria's Place, 6 parents & 6 children of youth ages 0 - 3.","Unit name: Marlene's Place; Unit capacity: 12 ; Ages served: 16 through 20; Gender: Either; Services provided: Transitional Services     ; Specialized Setting Certifications: Pregnant and Parenting Youth     ;  Unit name: Emergency Shelter; Unit capacity: 14 ; Ages served: 10 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  Unit name: Gloria's Place; Unit capacity: 12 ; Ages served: 15 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Pregnant and Parenting Youth     ;  ","Minnesota Department of Human Services","09/18/1998","01/01/2026","12/31/2026","   ","j.hawkins@bridgeforyouth.org",
"1076492","Children's Residential Facilities","Brooklyn Avenues","7210 76th Ave N","","","Brooklyn Park","MN","55428     ","Hennepin","(612) 522-1690","Active","Avenues for Homeless Youth","12 ","","None","Unit name: Brooklyn Avenues; Unit capacity: 12 ; Ages served: 16 through 20; Gender: Either; Services provided: Transitional Services     ;  ","Minnesota Department of Human Services","02/06/2015","01/01/2026","12/31/2026","   ","kmeerse@avenuesforyouth.org",
"1036850","Children's Residential Facilities","Carver County Temporary Holdover Facility","606 E Fourth Street","","","Chaska","MN","55318     ","Carver","(952) 361-1103","Active","Carver County","6  ","","None","Unit name: 8 Day THF; Unit capacity: 6  ; Ages served: 10 through 21; Gender: Either; Services provided: Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"1125108","Children's Residential Facilities","Corrie's House","","","","","  ","          ","Washington","(651) 354-1901","Active","Corrie's House","6  ","","None","Unit name: Unit 1; Unit capacity: 6  ; Ages served: 12 through 17; Gender: Either; Services provided: Group Residential Setting     Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","05/12/2025","01/01/2026","12/31/2026","   ","Info@corrieshouse.org",
"802474","Children's Residential Facilities","Crisis Stabilization - Youth","1125  SE 6th St","","","Willmar","MN","56201     ","Kandiyohi","(320) 235-4613","Active","Woodland Centers","7  ","","None","Unit name: Crisis_Stabilization  - Youth; Unit capacity: 7  ; Ages served: 6 through 17; Gender: Either; Services provided: Shelter Services     ;  ","Minnesota Department of Human Services","11/01/1984","01/01/2026","12/31/2026","   ","",
"1036852","Children's Residential Facilities","Dakota County Juvenile Services Center","1600 HIGHWAY 55","","","Hastings","MN","55033-2368","Dakota","","Active","Dakota County","40 ","","Unit 3 Only - Number of Long-Term Beds: 10","Unit name: Detention; Unit capacity: 10 ; Ages served: 10 through 21; Gender: Either; Services provided: Secure Services     Restrictive Techniques     Detention Services     ;  Unit name: Secure Residential; Unit capacity: 10 ; Ages served: 10 through 21; Gender: Either; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  Unit name: Long-Term; Unit capacity: 10 ; Ages served: 10 through 21; Gender: Either; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  Unit name: Short-Term; Unit capacity: 10 ; Ages served: 10 through 21; Gender: Either; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"1081329","Children's Residential Facilities","Divine Intervention","806 EDMUND AVE","","","Saint Paul","MN","55104-2584","Ramsey","(651) 401-0477","Active","DIVINE Institute","8  ","","None","Unit name: The Tower; Unit capacity: 8  ; Ages served: 11 through 16; Gender: Female; Services provided: Group Residential Setting     Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","08/17/2017","01/01/2026","12/31/2026","   ","",
"1126552","Children's Residential Facilities","DKI Teen Parent Program","2122 WOODLAND AVE","","","Duluth","MN","55803-2252","St. Louis","(218) 940-0480","Pending Reopening as of 11/25/2025","Divine Konnections Inc.","14 ","","None","Unit name: Unit 1; Unit capacity: 14 ; Ages served: 14 through 21; Gender: Either; Services provided: Transitional Services     ;  ","Minnesota Department of Human Services","10/01/2025","01/01/2026","12/31/2026","   ","",
"1036860","Children's Residential Facilities","East Central Regional Juvenile Center","7565 Fourth Avenue","","","Lino Lakes","MN","55014     ","Anoka","(651) 792-3020","Active","Anoka County","36 ","","None","Unit name: RJC; Unit capacity: 36 ; Ages served: 10 through 21; Gender: Either; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"800759","Children's Residential Facilities","Evergreen Shelter Program","","","","","  ","          ","Beltrami","(218) 751-4332","Active","Evergreen Youth & Family Services","10 ","","None","Unit name: Evergreen Shelter; Unit capacity: 10 ; Ages served: 9 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","07/01/1977","01/01/2026","12/31/2026","   ","",
"1125400","Children's Residential Facilities","Get It Right","1130 BEECH ST","","","Saint Paul","MN","55106-4605","Ramsey","(612) 248-4447","Revocation Order Issued/Under Appeal/May Operate as of 03/30/2026","Get It Right Inc","5  ","","None","Unit name: Unit 1; Unit capacity: 5  ; Ages served: 12 through 17; Gender: Male; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","07/22/2025","01/01/2026","12/31/2026","   ","",
"1127310","Children's Residential Facilities","Girls Program GP","1815 RIVER RD","","","Grand Rapids","MN","55744-4046","Itasca","(218) 326-4012","Active","North Homes, Inc.","6  ","","None","Unit name: Unit 1; Unit capacity: 6  ; Ages served: 16 through 21; Gender: Female; Services provided: Transitional Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","07/23/2025","01/01/2026","12/31/2026","   ","",
"1109203","Children's Residential Facilities","Grafton Integrated Health Network Minnesota Psychiatric Residential Tr","224 KRAYS MILL RD","","","Cold Spring","MN","56320-4563","Stearns","(215) 356-0545","Active","Grafton Integrated Health Network Minnesota Psychiatric Residential Tr","30 ","","None","Psychiatric Residential Treatment Facility Unit name: Evergreen; Unit capacity: 15 ; Ages served: 8 through 21; Gender: Male;  Unit name: Sapphire; Unit capacity: 15 ; Ages served: 8 through 21; Gender: Female;  ","","05/24/2022","01/01/2026","12/31/2026","   ","",
"830983","Children's Residential Facilities","Greater Minneapolis Crisis Nursery","4544 4TH AVE S","","","Minneapolis","MN","55419-5145","Hennepin","(763) 591-0400","Active","Greater Minneapolis Crisis Nursery","26 ","","None","Unit name: Greater Minneapolis Crisis Nusery (North); Unit capacity: 26 ; Ages served: 6 and younger; Gender: Either; Services provided: Shelter Services     ;  ","Minnesota Department of Human Services","02/15/1999","01/01/2026","12/31/2026","   ","accounting@crisisnursery.org",
"1087256","Children's Residential Facilities","Hawkins Home","1813 Park Ave NW","","","Bemidji","MN","56601     ","Beltrami","(218) 751-0282","Active","North Homes, Inc.","6  ","","None","Unit name: Hawkins; Unit capacity: 6  ; Ages served: 16 through 21; Gender: Female; Services provided: Transitional Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","10/20/2017","01/01/2026","12/31/2026","   ","info@northhomes.org",
"1038741","Children's Residential Facilities","Hazelden Plymouth","11505 36th Ave N","","","Plymouth","MN","55441     ","Hennepin","(763) 555-2010","Active","Hazelden Betty Ford Foundation","34 ","","None","Unit name: Hazelden Plymouth; Unit capacity: 34 ; Ages served: 12 through 15; Gender: Either; Services provided: Group Residential Setting     Chemical Dependency Treatment     ;  ","Minnesota Department of Human Services","07/01/2005","01/01/2026","12/31/2026","   ","MNLicenses@hazeldenbettyford.org",
"1036870","Children's Residential Facilities","Heartland Ranch, Inc.","185 HIGHWAY 9 NE","","","Benson","MN","56215-1160","Swift","","Active","Heartland Ranch, Inc. AND Heartland Ranch, Inc.","34 ","","None","Unit name: General Campus; Unit capacity: 34 ; Ages served: 10 through 21; Gender: Female; Services provided: Group Residential Setting     Correctional Services     Restrictive Techniques     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"1036881","Children's Residential Facilities","Hennepin County Juvenile Detention Center","510 Park Avenue S","","","Minneapolis","MN","55415     ","Hennepin","(612) 348-8122","Active","Hennepin County","87 ","","None","Unit name: General Campus; Unit capacity: 87 ; Ages served: 10 through 21; Gender: Either; Services provided: Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"801377","Children's Residential Facilities","Hoffmann Center","1715 SHEPPARD DR","","","Saint Peter","MN","56082-2539","Nicollet","(507) 934-6122","Active","Leo A Hoffmann Center","32 ","","PRTF Variance ","Psychiatric Residential Treatment Facility Unit name: Falcons Unit (Evergreen Cottage); Unit capacity: 8  ; Ages served: 10 through 19; Gender: Male;  Unit name: Wolves Unit (Evergreen Cottage); Unit capacity: 8  ; Ages served: 10 through 19; Gender: Male;  Unit name: Knights Unit (North Cottage); Unit capacity: 8  ; Ages served: 10 through 19; Gender: Male;  Unit name: Phoenixes Unit (North Cottage); Unit capacity: 8  ; Ages served: 10 through 19; Gender: Male;  ","","01/28/1991","01/01/2026","12/31/2026","   ","",
"1036261","Children's Residential Facilities","Hope Harbor","219 N HIGH ST","","","Marshall","MN","56258-1471","Lyon","(507) 537-4525","Active","Hope Harbor","6  ","","None","Unit name: Hope Harbor; Unit capacity: 6  ; Ages served: 12 through 17; Gender: Female; Services provided: Group Residential Setting     ;  ","Minnesota Department of Human Services","07/01/2005","01/01/2026","12/31/2026","   ","marshall@hopeharbormn.org",
"1124803","Children's Residential Facilities","Houston County Juvenile Detention Center (JDC)","306 S MARSHALL ST","","","Caledonia","MN","55921-1466","Houston","(507) 725-3379","Active","Houston County","8  ","","None","Unit name: 8 Day THF; Unit capacity: 8  ; Ages served: 10 through 21; Gender: Either; Services provided: Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2024","01/01/2026","12/31/2026","   ","",
"1010657","Children's Residential Facilities","Itaskin Treatment Center","1880 RIVER RD","","","Grand Rapids","MN","55744-4085","Itasca","(218) 327-3055","Active","North Homes, Inc.","52 ","","Unit 2 Only - Number of Long-Term Beds: 2","Unit name: Unit 1 Bear; Unit capacity: 6  ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Unit 2 Otter; Unit capacity: 6  ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Unit 3 Deer; Unit capacity: 11 ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Unit 4 Wolf; Unit capacity: 11 ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Unit 5 Eagle; Unit capacity: 11 ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Unit 6 Turtle; Unit capacity: 4  ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Unit 7 Loon; Unit capacity: 3  ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  ","Minnesota Department of Human Services","05/02/2001","01/01/2026","12/31/2026","   ","info@northhomes.org",
"1085292","Children's Residential Facilities","Ivy House","717 5TH ST N","","","New Ulm","MN","56073-1814","Brown","(507) 766-6925","Active","Southern Minnesota Crisis Nursery","6  ","","None","Unit name: 1; Unit capacity: 6  ; Ages served: 0 through 10; Gender: Either; Services provided: Shelter Services     ;  ","Minnesota Department of Human Services","06/19/2017","01/01/2026","12/31/2026","   ","",
"1100893","Children's Residential Facilities","Jelani House","221 BELVIDERE ST E","","","Saint Paul","MN","55107-3140","Ramsey","(612) 615-9821","Active","Rebound Inc","6  ","","None","Unit name: Unit 1; Unit capacity: 6  ; Ages served: 14 through 17; Gender: Male; Services provided: Group Residential Setting     Shelter Services     ;  ","Minnesota Department of Human Services","05/15/2020","01/01/2026","12/31/2026","   ","",
"1095378","Children's Residential Facilities","Kadiri House LLC","2131 N 6TH ST STE 2","","","Minneapolis","MN","55411-2720","Hennepin","(612) 886-6228","Active","Kadiri House LLC","10 ","","None","Unit name: Kadiri House; Unit capacity: 10 ; Ages served: 8 through 17; Gender: Male; Services provided: Group Residential Setting     ;  ","Minnesota Department of Human Services","11/20/2018","01/01/2026","12/31/2026","   ","Kadiri@KadiriHouse.com",
"1078609","Children's Residential Facilities","Lakeside Academy","100 Garrison Ave NE","","","Buffalo","MN","55313     ","Wright","(612) 333-4111","Active","Minnesota Adult & Teen Challenge","60 ","","None","Unit name: 1; Unit capacity: 60 ; Ages served: 12 through 18; Gender: Male; Services provided: Group Residential Setting     Chemical Dependency Treatment     ;  ","Minnesota Department of Human Services","06/30/2017","01/01/2026","12/31/2026","   ","",
"801413","Children's Residential Facilities","Little Sand Lakeside","5908 Little Sand Ln NE","","","Remer","MN","56672     ","Cass","(218) 566-4613","Active","Little Sand Group Homes","8  ","","None","Unit name: Lakeside; Unit capacity: 8  ; Ages served: 11 through 17; Gender: Female; Services provided: Group Residential Setting     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","09/10/1990","01/01/2026","12/31/2026","   ","",
"801412","Children's Residential Facilities","Little Sand West","5910 Little Sand Ln NE"," ","","Remer","MN","56672     ","Cass","(218) 566-2342","Active","Little Sand Group Homes","10 ","","None","Unit name: West; Unit capacity: 10 ; Ages served: 11 through 17; Gender: Female; Services provided: Group Residential Setting     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
"800188","Children's Residential Facilities","LSS Bethany Crisis Shelter","","","","","  ","          ","St. Louis","(218) 626-2726","Active","Lutheran Social Service of Minnesota","12 ","","None","Unit name: Bethany Crisis Shelter; Unit capacity: 12 ; Ages served: 17 and younger; Gender: Either; Services provided: Restrictive Techniques     Shelter Services     ;  ","Minnesota Department of Human Services","07/01/1977","01/01/2026","12/31/2026","   ","",
"1020196","Children's Residential Facilities","LSS Life Haven","325 JENKS AVE","","","Saint Paul","MN","55130-3924","Ramsey","(651) 776-9805","Active","Lutheran Social Service of Minnesota","14 ","","Babies Ages - 0 to 3 years; RESTRICTION - Six residents & up to 8 children of youth ages 0 - 3 years old.","Unit name: Life Haven; Unit capacity: 14 ; Ages served: 16 through 18; Gender: Female; Services provided: Transitional Services     ;  ","Minnesota Department of Human Services","05/15/2003","01/01/2026","12/31/2026","   ","",
"1012399","Children's Residential Facilities","LSS Renaissance Transitions","1422 E Superior St","","","Duluth","MN","55805     ","St. Louis","(218) 723-8052","Active","Lutheran Social Service of Minnesota","10 ","","None","Unit name: LSS - Renaissance Transitional Living Program; Unit capacity: 10 ; Ages served: 16 through 20; Gender: Either; Services provided: Transitional Services     ;  ","Minnesota Department of Human Services","10/09/2001","01/01/2026","12/31/2026","   ","",
"1040476","Children's Residential Facilities","LSS Safe House","1696 DAYTON AVE","","","Saint Paul","MN","55104-6104","Ramsey","(651) 644-3446","Active","Lutheran Social Service of Minnesota","6  ","","None","Unit name: LSS of MN Safe House; Unit capacity: 6  ; Ages served: 16 through 20; Gender: Either; Services provided: Transitional Services     ;  ","Minnesota Department of Human Services","07/01/2007","01/01/2026","12/31/2026","   ","",
"1036934","Children's Residential Facilities","MCF - Red Wing","1079 Highway 292","","","Red Wing","MN","55066     ","Goodhue","(651) 267-3600","Active","Minnesota Department of Corrections","107","","None","Unit name: General Campus; Unit capacity: 80 ; Ages served: 13 through 21; Gender: Male; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     ;  Unit name: Dayton; Unit capacity: 27 ; Ages served: 13 through 21; Gender: Male; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"1090428","Children's Residential Facilities","Naima House","1017 HUMBOLDT AVE N","","","Minneapolis","MN","55411-3933","Hennepin","(612) 558-6259","Active","Rebound Inc","6  ","","None","Unit name: Unit 1; Unit capacity: 6  ; Ages served: 14 through 17; Gender: Female; Services provided: Group Residential Setting     Shelter Services     ;  ","Minnesota Department of Human Services","01/01/2018","01/01/2026","12/31/2026","   ","",
"1108472","Children's Residential Facilities","Newport Academy","1726 7TH AVE S","","","Saint Cloud","MN","56301-5711","Stearns","(763) 634-6375","Active","Minnesota Health Operations LLC","60 ","","None","Unit name: Cottage 1; Unit capacity: 10 ; Ages served: 13 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     ;  Unit name: Cottage 2; Unit capacity: 10 ; Ages served: 13 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     ;  Unit name: Cottage 3; Unit capacity: 10 ; Ages served: 13 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Chemical Dependency Treatment     Restrictive Techniques     ;  Unit name: Cottage 4; Unit capacity: 10 ; Ages served: 13 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Chemical Dependency Treatment     Restrictive Techniques     ;  Unit name: Cottage 5; Unit capacity: 10 ; Ages served: 13 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     ;  Unit name: Cottage 6; Unit capacity: 10 ; Ages served: 13 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     ;  ","Minnesota Department of Human Services","10/18/2021","01/01/2026","12/31/2026","   ","",
